year_month,region,special_supply_units,special_supply_applications,special_supply_competition_rate,general_supply_units,general_supply_applications,general_supply_competition_rate
2024-07-22,부산,509,286,(△223),403,1108,2.75
2024-07-22,대구,1288,93,(△1195),1787,1974,1.1
2024-07-22,인천,1041,2472,2.37,982,4585,4.67
2024-07-22,광주,49,6,(△43),79,118,1.49
2024-07-22,대전,855,1981,2.32,801,5916,7.39
2024-07-22,울산,714,27,(△687),565,172,(△393)
2024-07-22,경기,1131,323,(△808),1162,1191,1.02
2024-07-22,강원,277,238,(△39),948,29053,30.65
2024-07-22,충북,75,190,2.53,74,788,10.65
2024-07-22,충남,635,186,(△449),575,1902,3.31
2024-07-22,전북,464,115,(△349),429,1720,4.01
2024-07-22,전남,882,434,(△448),605,5852,9.67
2024-07-22,경북,398,28,(△370),378,352,(△26)
2024-07-22,경남,861,4024,4.67,1001,15813,15.8
2024-07-22,제주,0,0,0,134,205,1.53
2024-08-22,서울,53,265,5,178,604,3.39
2024-08-22,부산,88,65,(△23),148,744,5.03
2024-08-22,대구,348,2,(△346),328,96,(△232)
2024-08-22,인천,616,3323,5.39,373,8397,22.51
2024-08-22,광주,84,123,1.46,77,522,6.78
2024-08-22,울산,159,26,(△133),143,283,1.98
2024-08-22,경기,1789,2623,1.47,1601,7122,4.45
2024-08-22,강원,847,457,(△390),1080,6495,6.01
2024-08-22,충북,951,1953,2.05,806,5891,7.31
2024-08-22,충남,874,411,(△463),928,2912,3.14
2024-08-22,전북,691,97,(△594),625,1778,2.84
2024-08-22,전남,174,57,(△117),167,1098,6.57
2024-08-22,경북,167,5,(△162),143,36,(△107)
2024-08-22,경남,704,49,(△655),790,1603,2.03
2024-08-22,제주,0,0,0,578,356,(△222)
2024-09-22,부산,645,5965,9.25,601,31821,52.95
2024-09-22,대구,292,64,(△228),271,706,2.61
2024-09-22,인천,160,40,(△120),180,283,1.57
2024-09-22,경기,574,1703,2.97,673,6402,9.51
2024-09-22,강원,215,45,(△170),337,1201,3.56
2024-09-22,충북,856,51,(△805),1744,704,(△1040)
2024-09-22,충남,169,11,(△158),147,75,(△72)
2024-09-22,전북,284,73,(△211),486,1382,2.84
2024-09-22,전남,954,67,(△887),1200,1300,1.08
2024-09-22,경북,544,24,(△520),754,798,1.06
2024-09-22,경남,1311,1359,1.04,1552,11944,7.7
2024-10-22,부산,866,3092,3.57,186,6346,34.12
2024-10-22,대구,806,20,(△786),889,246,(△643)
2024-10-22,인천,849,61,(△788),570,539,(△31)
2024-10-22,광주,63,31,(△32),68,75,1.1
2024-10-22,대전,1119,372,(△747),1128,3130,2.77
2024-10-22,울산,412,6,(△406),334,122,(△212)
2024-10-22,경기,4020,5685,1.41,4068,20838,5.12
2024-10-22,강원,394,99,(△295),417,2936,7.04
2024-10-22,충북,0,0,0,1019,33,(△986)
2024-10-22,충남,4046,920,(△3126),2839,6548,2.31
2024-10-22,전북,860,80,(△780),994,1975,1.99
2024-10-22,전남,124,12,(△112),120,116,(△4)
2024-10-22,경북,325,13,(△312),420,196,(△224)
2024-10-22,경남,0,0,0,55,7,(△48)
2024-10-22,제주,0,0,0,93,402,4.32
2024-11-22,서울,1724,8081,4.69,5106,28520,5.59
2024-11-22,대구,55,4,(△51),50,13,(△37)
2024-11-22,광주,130,12,(△118),252,120,(△132)
2024-11-22,대전,1763,7187,4.08,1646,54060,32.84
2024-11-22,울산,402,14,(△388),309,128,(△181)
2024-11-22,경기,3021,1568,(△1453),3223,15354,4.76
2024-11-22,강원,467,33,(△434),841,1425,1.69
2024-11-22,충남,975,95,(△880),1450,2693,1.86
2024-11-22,전북,230,6,(△224),339,115,(△224)
2024-11-22,전남,111,0,(△111),121,3,(△118)
2024-11-22,경북,197,53,(△144),231,909,3.94
2024-11-22,경남,572,2204,3.85,701,20646,29.45
2024-11-22,제주,0,0,0,136,16,(△120)
2024-12-22,서울,113,5340,47.26,159,6751,42.46
2024-12-22,부산,59,245,4.15,57,3065,53.77
2024-12-22,대구,230,3,(△227),251,28,(△223)
2024-12-22,인천,650,99,(△551),546,392,(△154)
2024-12-22,대전,355,15,(△340),496,147,(△349)
2024-12-22,울산,238,2,(△236),393,369,(△24)
2024-12-22,세종,101,58,(△43),89,185,2.08
2024-12-22,경기,2334,1644,(△690),2424,4751,1.96
2024-12-22,강원,262,147,(△115),348,2265,6.51
2024-12-22,충북,23,17,(△6),629,186,(△443)
2024-12-22,충남,445,14,(△431),554,266,(△288)
2024-12-22,전북,0,0,0,64,0,(△64)
2024-12-22,경북,626,18,(△608),829,983,1.19
2024-12-22,경남,1270,2259,1.78,1001,27178,27.15
2024-12-22,제주,0,0,0,77,11,(△66)
2024-01-23,인천,58,16,(△42),52,62,1.19
2024-01-23,경기,189,33,(△156),110,213,1.94
2024-01-23,충남,0,0,0,80,3,(△77)
2024-01-23,전북,596,18,(△578),149,133,(△16)
